Client ID,Client Age,Client Gender Identity-Labels,Client Marital Status,Client Disability,Client Self-Identifies As,Client Is Student,Highest Education Level,Income,rel_Common-Law Partner,rel_boyfriend_girlfriend,rel_child,rel_friend,rel_grandchild,rel_grandparent,rel_other,rel_other_relative,rel_parent,rel_roommate,rel_sibling,rel_spouse,rel_undisclosed,rel_ward,minor,agecat_10 to 17,agecat_Adult,agecat_Under 10,household_total,ethnic_Asian,ethnic_Black,ethnic_Hispanic,ethnic_MidEast_NoAfrican,ethnic_White,ethnic_other,No_Visits,reason_Benefits Issue,reason_Debt,reason_Family Breakup,reason_Immigration,reason_Medical,reason_Natural Disaster,reason_Ongoing Need,reason_Relocation,reason_Undisclosed,reason_Unemployed,reason_Unhoused,reason_Wages Issue,employment_clean
6855251,35,Female,did_not_ask,no,none,No,grade_12,1377,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,4,0,0,1,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,2,none
4152127,45,Female,married,did_not_ask,did_not_ask,No,grade_12,1377,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,6,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,2,none
4162356,58,Female,did_not_ask,no,none,No,grade_12,1377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,8,0,0,0,1,0,0,6,0,0,0,0,1,disability
6678392,43,Female,married,no,none,No,did_not_ask,1377,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,1,3,1,6,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,none
6678442,26,Male,single,no,Didn't Ask,No,grade_12,1377,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,4,0,5,0,0,1,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,2,none
6687508,65,Male,separated,yes,did_not_ask,No,associate_degree,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,retired
4757292,36,Female,married,no,none,No,did_not_ask,1377,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,1,3,5,0,0,0,1,0,0,8,0,0,0,0,0,0,5,0,0,0,0,3,none
5520471,75,Male,married,no,none,No,did_not_ask,1377,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,12,1,0,0,0,0,0,10,0,0,0,0,1,retired
4149245,55,Didn't Ask,single,no,Didn't Ask,No,did_not_ask,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,0,did_not_ask
6688196,37,Female,married,no,none,No,associate_degree,1377,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,4,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,none
4626293,59,Male,widowed,did_not_ask,did_not_ask,No,grade_12,1377,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,1,12,1,0,0,0,0,0,9,0,0,0,0,2,none
4158685,42,Didn't Ask,married,no,none,No,grade_12,1377,0,0,5,0,0,0,0,0,0,0,0,1,0,0,4,2,2,2,7,0,0,0,1,0,0,15,1,0,0,1,0,0,10,0,0,0,0,3,none
4328826,36,Female,married,no,none,No,grade_12,1377,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,1,1,3,6,0,0,0,1,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,none
